		250		31329.8	67	5.47761194	734		0						26		0	
	source ID	druid	Title	Length of Roll	Digitizing Operator	Digitizing Date	Total Digitizing Time (in minutes)	Date Completion	QC Operator	QC Date	Total Post Processing (Lightroom Time)	Total QC Time	QC Pass/Fail	Number of Scans	Notes	Import Date	Count Skip of Total Digitizing Time	Feet / min
Ampico	sul:ars0163_b87_71243	sf631pt5346	Outstanding hits of the day : fox trot medley no. 20															
Ampico	sul:ars0163_b87_71122	wx382nb3805	An American in Paris : part 1															
Ampico	sul:ars0163_b87_71133	pk600fm7652	An American in Paris : part 2															
Ampico	sul:ars0163_b87_71113	wj194rx7245	Outstanding hits of the day : fox trot medley no. 10															
Ampico	sul:ars0163_b87_71103b	bt271qz2417	Outstanding hits of the day : fox trot medley no. 10															
Ampico	sul:ars0163_b127_216423b	wr514qf1397	Fox trot recording (1939)	666	Astrid	12/15/2017	10											
Ampico	sul:ars0163_b127_216431	sr806nq8339	Lambeth walk															
Ampico	sul:ars0163_b127_216413b	gt651tc8204	I married an angel	720	Megan	12/14/2017	10	12/14/2017							Frame duplication			
Ampico	sul:ars0163_b127_216403	yh699qd6368	Music, maestro, please!	741	Megan	12/14/2017	20	12/14/2017							Frame duplication			
Ampico	sul:ars0163_b127_216281_215701	ff520mm4613	Have you met Miss Jones?	702.5	LL	12/15/2017	12								Streaks, restarted app			
Ampico	sul:ars0163_b127_216393b	jz361cd8658	Bewildered	783.4	LL	12/15/2017	9											
Ampico	sul:ars0163_b127_216373	sr555rq9173	Goodnight, sweet dreams, goodnight	970.8	LL	12/15/2017	11								Frame duplication			
Ampico	sul:ars0163_b127_216273b	kr310fc3592	This never happened before, from Hitting a new high	790.9	LL	12/15/2017	9								Frame duplication			
Ampico	sul:ars0163_b127_216273	qt757jp5995	This never happened before, from Hitting a new high	806.5	LL	12/15/2017	35								Frame duplication at 219", 722", 352", 509" (509 was at a very slow speed)			
Ampico	sul:ars0163_b127_216263b	bj856mp3679	Rosalie	756.6	LL	12/15/2017	7											
Ampico	sul:ars0163_b127_216163	pv250vt6374	Hits from Broadway melody of 1938	623.1	LL	12/15/2017	26								frame dupication at 512", 360", 614", 148"			
Ampico	sul:ars0163_b127_216101b_216321b	cn015jz2856	They can't take that way from me, from Shall we dance	769	Astrid	12/15/2017									Frame dup error at 530", 6 mins; frame dup error at 164", 12:50 mins; frame dup error at 105", 17 mins; frame dup error at 77", 21 mins; frame dup error at 28", 22 mins; frame dup error at 271", 25 mins; frame dup error at 366", 29 mins; frame dup error at 402", 33 mins; next attempt wouldn't register any image at all.			
Ampico	sul:ars0163_b127_216243	hw340kg3163	A foggy day															
Ampico	sul:ars0163_b127_216343	fp746pz0565	Good night, angel, from Radio City revels															
Ampico	sul:ars0163_b127_216203b	jx773dx6669	My cabin of dreams															
Ampico	sul:ars0163_b127_216133	bp205jw4593	Little old lady, from The show is on															
Ampico	sul:ars0163_b127_216073	pn052pf9909	Melodies in blue no. 2															
Ampico	sul:ars0163_b127_216333b	nw503hc9476	I've taken a fancy to you, from In old Chicago															
Ampico	sul:ars0163_b127_216213b	vv844vz9738	Blossoms on Broadway															
Ampico	sul:ars0163_b127_216153b	rh584pn7225	Midsummer medley															
Ampico	sul:ars0163_b128_261091f	bp705hc4376	Mon homme															
Ampico	sul:ars0163_b128_261051f	bg683nz6819	Crooning															
Ampico	sul:ars0163_b128_261041a	xp037ds8177	Down yonder															
Ampico	sul:ars0163_b128_261001f	qm275hh8170	Where the lazy Mississippi flows															
Ampico	sul:ars0163_b128_241101f	mv504kk9215	Love bird															
Ampico	sul:ars0163_b128_216533	jg046hm0730	Over the rainbow															
Ampico	sul:ars0163_b128_216623	vm277qp7256	You're lonely and I'm lonely															
Ampico	sul:ars0163_b128_216673	db977zd0699	Fresh as a daisy															
Ampico	sul:ars0163_b128_222031a	bm546xm3240	April showers : "Bombo"															
Ampico	sul:ars0163_b128_216543b	xg517km1952	Yours for a song, from Billy Rose's Aquacade															
Ampico	sul:ars0163_b128_216553	tn077gz6465	Melancholy mood															
Ampico	sul:ars0163_b128_216633b	gk194jd8410	Eleanor, I adore you, from Billy Rose's New aquacade															
